respondent,dept,n,dept_en,dept_fr
Number of staffing advisors,041,2,Canadian Human Rights Commission,Commission canadienne des droits de la personne
Number of managers or supervisors,041,30,Canadian Human Rights Commission,Commission canadienne des droits de la personne
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",041,17,Canadian Human Rights Commission,Commission canadienne des droits de la personne
Number of employees,042,144,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
Number of respondents,042,72,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
Number of staffing advisors,042,0,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
Number of managers or supervisors,042,26,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",042,15,Office of the Commissioner of Official Languages,Commissariat aux langues officielles
Number of employees,043,260,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
Number of respondents,043,144,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
Number of staffing advisors,043,4,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
Number of managers or supervisors,043,49,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",043,29,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
Number of employees,044,202,Supreme Court of Canada,Cour suprême du Canada
Number of respondents,044,78,Supreme Court of Canada,Cour suprême du Canada
Number of staffing advisors,044,1,Supreme Court of Canada,Cour suprême du Canada
Number of managers or supervisors,044,21,Supreme Court of Canada,Cour suprême du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",044,8,Supreme Court of Canada,Cour suprême du Canada
Number of employees,046,970,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
Number of respondents,046,478,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
Number of staffing advisors,046,3,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
Number of managers or supervisors,046,92,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
"Number of managers who hired or attempted to hire an indeterminate or term employee between January 1 and December 31, 2017",046,41,Public Prosecution Service of Canada,Service des poursuites pénales du Canada
Number of employees,047,258,Canadian Environmental Assessment Agency,Agence canadienne d’évaluation environnementale
Number of respondents,047,138,Canadian Environmental Assessment Agency,Agence canadienne d’évaluation environnementale
